symbol,date,direction,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,pnl
EICHERMOT,1/24/2024,BUY,2024-01-24 09:20:00,3635.6,3653.7779999999993,3626.511,2024-01-24 09:25:00,3626.511,stop_loss,-0.0025
EICHERMOT,1/24/2024,SELL,2024-01-24 09:25:00,3605.1,3587.0744999999997,3614.11275,2024-01-24 09:40:00,3587.0744999999997,target_hit,0.005
EICHERMOT,1/25/2024,SELL,2024-01-25 09:20:00,3612.7,3594.6364999999996,3621.7317499999995,2024-01-25 09:25:00,3621.7317499999995,stop_loss,-0.0025
EICHERMOT,1/29/2024,BUY,2024-01-29 09:20:00,3641.05,3659.2552499999997,3631.947375,2024-01-29 09:55:00,3659.2552499999997,target_hit,0.005
EICHERMOT,1/30/2024,BUY,2024-01-30 10:10:00,3693.25,3711.7162499999995,3684.0168750000003,2024-01-30 13:30:00,3711.7162499999995,target_hit,0.005
EICHERMOT,1/31/2024,BUY,2024-01-31 09:25:00,3732.0,3750.6599999999994,3722.67,2024-01-31 09:55:00,3750.6599999999994,target_hit,0.005
EICHERMOT,2/2/2024,SELL,2024-02-02 15:15:00,3816.85,3797.76575,3826.392125,2024-02-02 15:15:00,3816.85,time_exit,0.0
EICHERMOT,2/5/2024,BUY,2024-02-05 09:20:00,3889.1,3908.5454999999997,3879.37725,2024-02-05 10:00:00,3879.37725,stop_loss,-0.0025
EICHERMOT,2/6/2024,BUY,2024-02-06 10:50:00,3917.75,3937.3387499999994,3907.955625,2024-02-06 13:25:00,3937.3387499999994,target_hit,0.005
EICHERMOT,2/7/2024,SELL,2024-02-07 09:20:00,3953.6,3933.832,3963.484,2024-02-07 09:40:00,3933.832,target_hit,0.005
EICHERMOT,2/8/2024,SELL,2024-02-08 09:20:00,3906.6,3887.067,3916.3664999999996,2024-02-08 10:15:00,3887.067,target_hit,0.005
EICHERMOT,2/9/2024,BUY,2024-02-09 09:30:00,3822.65,3841.7632499999995,3813.0933750000004,2024-02-09 09:40:00,3813.0933750000004,stop_loss,-0.0025
EICHERMOT,2/9/2024,SELL,2024-02-09 10:00:00,3772.3,3753.4385,3781.73075,2024-02-09 10:05:00,3781.73075,stop_loss,-0.0025
EICHERMOT,2/12/2024,SELL,2024-02-12 10:05:00,3822.6,3803.487,3832.1564999999996,2024-02-12 10:45:00,3832.1564999999996,stop_loss,-0.0025
EICHERMOT,2/12/2024,BUY,2024-02-12 12:20:00,3871.95,3891.3097499999994,3862.270125,2024-02-12 14:05:00,3891.3097499999994,target_hit,0.005
EICHERMOT,2/13/2024,SELL,2024-02-13 09:20:00,3877.2,3857.814,3886.8929999999996,2024-02-13 09:25:00,3857.814,target_hit,0.005
EICHERMOT,2/13/2024,BUY,2024-02-13 14:40:00,3836.0,3855.1799999999994,3826.4100000000003,2024-02-13 14:45:00,3826.4100000000003,stop_loss,-0.0025
EICHERMOT,2/14/2024,SELL,2024-02-14 09:20:00,3775.95,3757.0702499999998,3785.3898749999994,2024-02-14 09:25:00,3785.3898749999994,stop_loss,-0.0025
EICHERMOT,2/14/2024,BUY,2024-02-14 09:45:00,3916.95,3936.5347499999993,3907.157625,2024-02-14 09:50:00,3907.157625,stop_loss,-0.0025
EICHERMOT,2/15/2024,SELL,2024-02-15 09:25:00,3884.0,3864.58,3893.7099999999996,2024-02-15 09:35:00,3893.7099999999996,stop_loss,-0.0025
EICHERMOT,2/15/2024,BUY,2024-02-15 10:00:00,3923.85,3943.4692499999996,3914.040375,2024-02-15 10:25:00,3914.040375,stop_loss,-0.0025
EICHERMOT,2/16/2024,BUY,2024-02-16 09:20:00,3952.05,3971.8102499999995,3942.1698750000005,2024-02-16 09:55:00,3971.8102499999995,target_hit,0.005
EICHERMOT,2/16/2024,SELL,2024-02-16 15:05:00,3922.95,3903.3352499999996,3932.7573749999997,2024-02-16 15:15:00,3926.95,time_exit,-0.00101964
EICHERMOT,2/19/2024,SELL,2024-02-19 09:20:00,3933.95,3914.28025,3943.784875,2024-02-19 09:45:00,3914.28025,target_hit,0.005
EICHERMOT,2/20/2024,SELL,2024-02-20 09:20:00,3817.6,3798.5119999999997,3827.144,2024-02-20 10:45:00,3827.144,stop_loss,-0.0025
EICHERMOT,2/21/2024,BUY,2024-02-21 09:25:00,3872.7,3892.0634999999993,3863.01825,2024-02-21 14:00:00,3863.01825,stop_loss,-0.0025
EICHERMOT,2/21/2024,SELL,2024-02-21 14:35:00,3825.35,3806.22325,3834.9133749999996,2024-02-21 15:05:00,3834.9133749999996,stop_loss,-0.0025
EICHERMOT,2/22/2024,BUY,2024-02-22 09:20:00,3925.25,3944.87625,3915.4368750000003,2024-02-22 09:25:00,3915.4368750000003,stop_loss,-0.0025
EICHERMOT,2/23/2024,SELL,2024-02-23 09:20:00,3958.35,3938.55825,3968.2458749999996,2024-02-23 09:30:00,3938.55825,target_hit,0.005
EICHERMOT,2/26/2024,BUY,2024-02-26 09:25:00,3915.85,3935.4292499999997,3906.060375,2024-02-26 09:55:00,3906.060375,stop_loss,-0.0025
EICHERMOT,2/26/2024,SELL,2024-02-26 09:55:00,3905.65,3886.1217500000002,3915.414125,2024-02-26 10:35:00,3915.414125,stop_loss,-0.0025
EICHERMOT,2/27/2024,BUY,2024-02-27 09:20:00,3988.35,4008.2917499999994,3978.379125,2024-02-27 10:10:00,3978.379125,stop_loss,-0.0025
EICHERMOT,2/28/2024,SELL,2024-02-28 09:20:00,3991.5,3971.5425,4001.4787499999998,2024-02-28 09:55:00,3971.5425,target_hit,0.005
EICHERMOT,2/29/2024,BUY,2024-02-29 09:25:00,3888.0,3907.4399999999996,3878.28,2024-02-29 09:40:00,3878.28,stop_loss,-0.0025
EICHERMOT,2/29/2024,SELL,2024-02-29 10:10:00,3836.6,3817.417,3846.1915,2024-02-29 10:45:00,3817.417,target_hit,0.005
EICHERMOT,3/1/2024,SELL,2024-03-01 09:20:00,3799.2,3780.2039999999997,3808.6979999999994,2024-03-01 10:20:00,3808.6979999999994,stop_loss,-0.0025
